Date,Announcement,Catlady.se,isvxiii,Judith,lizark_x,NaftSan,ne2she,Olga,Palich,Remerie,tashaonline,yulitalia
1/26/2026,"Важно 👇

Пожалуйста, сохрани себе в закладки Банк ресурсов:
https://docs.google.com/spreadsheets/d/1yQH86D84nQ09gmETPIv-nGNze7LZabLyUyq0WMj5yFk/edit?usp=sharing

В этом документе находится вся актуальная информация по проекту: правила, обновления, ссылки и материалы для работы.

❗️Очень важно начинать рабочий день с проверки вкладки «Объявления» и чата нашего проектного канала — там мы публикуем все важные апдейты и комментарии.

Спасибо! 🙌",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
1/28/2026,"Пожалуйста, ознакомься с отзывом по проделанной работе — он уже отправлен тебе в личные сообщения.

Пока продолжаем практиковаться, а следующий вебинар / вар-рум состоится завтра, 29 января, в 07:30 по тихоокеанскому времени 🙂
Будем рады видеть всех!",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/29/2026,"Объявление по оформлению произношения в транскрипции

Если в речи мы слышим слова, где произношение отличается, но не является искажением (как в примерах, которые мы обсуждали: Галя, денег, говорить и т. д.), мы пишем слово так, как оно пишется по правилам языка.
Региональные особенности произношения отдельных звуков никак не отражаем в тексте.

Исключение — только те случаи, когда на произношении сознательно акцентировано внимание и это важно для смысла разговора (например, когда обсуждается само произношение слов — как в примере с бабушкой). В таких ситуациях разницу необходимо отразить.

Если же у человека есть дефект речи, и он стабильно произносит слова определённым образом, мы всё равно пишем слова согласно словарю, без попыток передать особенности произношения.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/29/2026,"Tatiana_RU_QA
2:48 pm
Коллеги, обратите, пожалуйста, внимание:
для упрощения работы наших ПК мы убрали «шпаргалку» и «список разрешённых тегов» из ресурс-банка.

Вместо этого interjections и tags теперь доступны как отдельные листы в самом ресурсе.
Чем меньше документов нужно открывать — тем быстрее и удобнее работать :)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2/2/2026,"Всем привет! Делимся важным и приятным обновлением по отслеживанию заданий 🎉

Ранее вам приходилось отслеживать выполненные задания вручную — они не обновлялись автоматически на странице проекта Babel. Именно поэтому вы могли замечать, что дневной лимит заданий (например, «0/5») оставался неизменным даже после отправки выполненного задания.

Теперь это изменилось:
отныне задания будут корректно обновляться и отслеживаться прямо на платформе Babel. Это значит, что счётчик заданий будет увеличиваться после каждой отправки, пока вы не достигнете своего дневного лимита. После этого вы сможете продолжить работу на следующий день. Дневной лимит обновляется ежедневно в 00:00 по восточному времени (ET).

При подключении к новому проекту начальный дневной лимит составляет 3 задания. Это сделано для того, чтобы вы успели получить обратную связь по первым работам и не несли рисков из-за возможных недопониманий при выполнении большого количества заданий.

В знак благодарности за то, что вы были одними из первых участников проекта, ваш текущий дневной лимит уже установлен на уровне 10 заданий. По мере роста качества вашей работы дневной лимит также будет увеличиваться, что позволит со временем зарабатывать больше.

Если у тебя есть вопросы по текущему лимиту или по тому, как он может измениться, не стесняйся писать — мы всегда на связи.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/3/2026,"Коллеги, хотели бы обратить ваше внимание на самые частые ошибки при оформлении транскрипций.

1️⃣ Проверяйте таймкоды
Пожалуйста, не забывайте приближать зум и внимательно проверять границы сегментов.
Сейчас много отрезков приходят обрезанными, особенно:

согласные в конце слова (т, к);

согласные в начале слова (м, д).

2️⃣ Филлеры и пунктуация
Напоминаем, что слова-паразиты и филлеры необходимо обособлять запятыми.
Это одна из топ-ошибок на сегодняшний день.

Спасибо за внимательность и аккуратность в работе 🙏
Если есть сомнения — лучше перепроверить перед сдачей.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/7/2026,"Коллеги, обратите внимание на:

Почему ставится пробел перед %
В русской типографике и орфографии:
- число и обозначение величины пишутся раздельно;
знак % приравнивается к таким обозначениям, как кг, м, °C.
Поэтому: 10 % - 147 % - 3,5 %
Пробел обязателен, так же как в: 5 кг - 20 °C - 3 м",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/7/2026,"🎧 Гайд по междометиям: «мгм», «угу», «ага»
Главное правило транскрипции

👉 Мы пишем то, что слышим, а не то, что “имеется в виду”.
Смысл вторичен. Звук — главный.

🟡 «мгм»

Как звучит:
рот закрыт
носовой звук
без гласных
Фонетически: м-м, мхм, мм

Что это:
Короткое подтверждение / слушание без проговаривания слов.

Пишем: мгм

❗ Если нет гласных — это не «угу»

🟢 «угу»

Как звучит:
есть гласная «у»
рот открыт
слышно «у-гу»
Фонетически: угу

Что это:
Осознанное, проговоренное согласие.

Пишем: угу

🔵 «ага»

Как звучит:
чёткое «а-га»
открытая речь
Что это:
Понимание, «точно», «понял».
Пишем: ага

❌ Частая ошибка

❌ Ставить «угу», потому что по смыслу — согласие
✅ Ставить «мгм», если по звуку — мычание без гласных
📌 Согласие ≠ «угу»
🧠 Быстрая самопроверка
Перед тем как написать «угу», задай себе 3 вопроса:
Слышна ли гласная «у»?
Открывается ли рот?
Это не носовое мычание?

Если хотя бы один ответ нет → пишем «мгм»",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2/12/2026,"Пожалуйста, обратите внимание на изменение в инструкции.
У нас появился новый тег — <протяжная-речь>…</протяжная-речь>
Теперь, если вы слышите явно растянутое слово — осознанно протянутое, с коммуникативной задачей (ирония, сомнение, усиление эмоции и т. д.), — используем этот тег.
Примеры:

«Дааа» → <протяжная-речь> Да </протяжная-речь>
«Нууу ты даёшь» → <протяжная-речь> Ну </протяжная-речь> ты даёшь

Важно: само растяжение буквами мы по-прежнему не показываем.

Мы не пишем «дааа», «нууу», «ээээ». Мы всегда используем нормативную форму слова — в том числе для междометий — строго по нашей таблице и в соответствии с нормами русского языка.

То есть удлинение передаётся только тегом <протяжная-речь>, а написание остаётся стандартным.",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2/13/2026,"📢 Обновление по тегам {СКАЗ:} и {ИСКАЖ:}

Коллеги, ранее вам была передана информация по использованию тегов в фигурных скобках. Сейчас есть уточнение — оно касается тегов {СКАЗ:} и {ИСКАЖ:}, особенно в случаях с числами.

🔹 Главное правило

Теперь мы не переносим дефисы, точки и запятые внутрь команды в фигурных скобках.

Внутри тега передаём только словесную форму звучания, без знаков препинания.

📌 Пример ({СКАЗ:})

Было сказано:

«Купи бананов. Ну, там, 2-3 штуки»

Пишем:

Купи бананов. Ну, там, 2-3 {СКАЗ: две три} штуки.

Обратите внимание:

дефис не дублируем в теге

точку и запятые не переносим в команду

внутри {СКАЗ:} — только словесная передача звучания

🔹 По тегу {ИСКАЖ:}

Принцип тот же:

знаки препинания внутрь тега не переносим

передаём только искажённую словесную форму

⚠️ Обратите внимание: в живой речи {ИСКАЖ:} будет встречаться значительно реже, чем {СКАЗ:}, особенно в случаях с числами.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
